Index,mut_extent_1,mut_extent_2,vertex_control,Fitness_Confidence_Expected,Fitness_Brightness,Critical
0,-7.991769,2.726818,27.405935,-0.999295,0.707106,1
1,-7.982532,2.702597,27.405935,-0.999264,0.702182,1
2,-7.850190,-7.999480,1.787894,-0.999998,0.829262,1
3,-7.775954,-7.999480,1.787894,-0.999998,0.831337,1
4,-7.585204,3.750184,27.405935,-0.999506,0.707430,1
5,-7.340880,-7.392230,1.862147,-0.999989,0.816578,1
6,3.636033,-7.965986,26.482437,-0.999702,0.709317,1
7,4.643635,-7.998989,26.482437,-0.999858,0.719376,1
8,4.708721,-7.965986,26.482437,-0.999811,0.711499,1
9,4.998935,-7.821669,1.832989,-0.999927,0.772744,1
10,4.998935,-7.729499,1.740773,-0.999874,0.769342,1
11,5.191902,-7.970743,27.513443,-0.998093,0.631596,1
12,5.206946,-7.970743,27.574576,-0.998130,0.631628,1
13,5.248307,-7.998563,27.502116,-0.998221,0.632457,1
14,5.258201,-7.998989,27.551839,-0.998272,0.636966,1
15,5.300624,-7.997795,27.510284,-0.998322,0.641744,1
16,5.412415,-7.998963,2.104119,-0.999981,0.788080,1
17,5.451993,-7.999247,27.502116,-0.998448,0.642975,1
18,5.576996,-7.998563,27.502116,-0.998520,0.648497,1
19,5.632223,-7.998563,27.502116,-0.998550,0.649771,1
