Index,mut_extent_1,mut_extent_2,vertex_control,Fitness_Confidence_Expected,Fitness_Brightness,Critical
0,-6.199815,-6.068382,16.625810,-0.990370,0.721812,1
1,-6.199815,-5.380735,16.625810,-0.985732,0.712821,1
2,-6.199815,-4.974270,16.625810,-0.978735,0.703771,1
3,-6.187468,-6.068382,16.625810,-0.990328,0.721298,1
4,-5.872478,-6.191428,15.561395,-0.989188,0.715862,1
5,-5.872478,-6.102727,15.561395,-0.989794,0.716422,1
6,-5.869105,-6.102727,15.610741,-0.989789,0.716394,1
7,-5.847075,-6.068382,15.561395,-0.989900,0.718936,1
8,-5.793456,-5.867704,15.607956,-0.988525,0.712952,1
9,-5.609228,-5.001012,17.440581,-0.977493,0.702991,1
10,-5.600447,-4.962718,16.531794,-0.977059,0.701675,1
11,-5.505018,-4.939756,16.822829,-0.972594,0.700317,1
12,-5.482325,-4.818090,16.822829,-0.967737,0.696338,1
13,-5.349394,-6.072684,15.750643,-0.985726,0.706074,1
14,-5.313017,-4.939756,16.831481,-0.961863,0.696006,1
15,-5.301602,-4.939756,16.831481,-0.960719,0.695309,1
16,-5.301602,-4.917420,16.696378,-0.960599,0.694873,1
17,-5.296103,-6.102727,15.610741,-0.984674,0.705965,1
18,-5.263962,-4.800985,16.697929,-0.951926,0.689818,1
19,-5.260589,-4.800985,16.747276,-0.951455,0.689615,1
20,-5.255058,-1.663281,16.696241,-0.077806,0.681694,0
21,-5.251982,-4.793586,16.747559,-0.950893,0.689092,1
22,-5.246403,-1.700819,17.337010,-0.072336,0.681475,0
23,-5.246403,-1.663281,16.696241,-0.060980,0.681255,0
24,-5.236986,-1.663281,16.696241,-0.060868,0.680910,0
25,-5.235493,-4.885034,16.695312,-0.953576,0.690661,1
26,-5.231273,-4.783596,16.751198,-0.947558,0.687582,1
27,-5.231273,-4.774059,16.714173,-0.945148,0.686826,1
28,-5.231273,-4.773560,16.751198,-0.945263,0.686855,1
29,-5.228677,-1.663281,16.696326,-0.051343,0.680439,0
30,-5.217698,-6.102727,15.750643,-0.983864,0.704347,1
31,-4.916930,-1.853469,16.753842,0.070421,0.677347,0
32,-4.915813,-1.835815,16.755204,0.083753,0.677220,0
33,-4.851154,-4.171792,16.822829,-0.750586,0.684957,1
34,-4.846839,-4.240156,16.917804,-0.777921,0.686703,1
35,-4.846839,-4.239064,16.699833,-0.774145,0.686581,1
36,-4.846822,-1.746363,16.699833,0.146320,0.674350,0
37,-4.846822,-1.746004,16.699833,0.146689,0.674319,0
38,-4.841739,-4.159790,16.862974,-0.733186,0.684283,1
39,-4.841739,-4.146771,16.862974,-0.732334,0.683946,1
40,-4.831587,-4.139009,16.718887,-0.725857,0.683088,1
41,-4.811668,-4.155236,16.712528,-0.720888,0.682445,1
42,-4.802441,-4.155236,16.713648,-0.716552,0.681985,1
43,-4.802441,-4.152848,16.713648,-0.715218,0.681924,1
44,-4.802415,-1.682882,16.822829,0.183880,0.672501,0
45,-4.802415,-1.674886,16.822829,0.190878,0.672406,0
46,-4.802415,-1.471291,16.807218,0.226713,0.668121,0
47,-4.787960,-1.656687,16.844811,0.197839,0.671927,0
48,1.116065,4.702556,5.529464,-0.999010,0.760809,1
49,1.185489,6.530126,6.463305,-1.000000,0.769973,1
50,4.494767,5.715451,5.541698,-0.999293,0.764469,1
51,4.539071,6.977592,5.580609,-0.999843,0.769281,1
52,4.638346,5.904473,5.598366,-0.999287,0.764074,1
53,4.820190,5.715451,5.541698,-0.997477,0.758416,1
54,4.820190,5.904473,5.598366,-0.998333,0.760521,1
55,4.859678,6.954034,5.580609,-0.999652,0.767154,1
56,5.079756,-4.993425,10.647139,0.973974,0.646809,0
57,5.796706,-5.331286,10.692448,0.881329,0.649885,0
58,5.887395,-4.996683,10.647139,0.814606,0.655249,0
59,5.920939,-4.307966,10.649994,0.730140,0.663583,0
60,5.923332,-4.973259,10.691605,0.809008,0.657782,0
61,5.923332,-4.184034,10.691605,0.711730,0.664041,0
62,5.923332,-4.150135,10.691605,0.706417,0.665304,0
63,6.084271,-4.570660,10.649994,0.801945,0.660801,0
64,6.084271,-4.449930,10.692448,0.774895,0.661416,0
65,6.364529,-4.993425,10.726542,0.862553,0.650582,0
