Index,mut_extent_1,mut_extent_2,vertex_control,Fitness_Confidence_Expected,Fitness_Brightness,Critical
0,-7.999590,0.802531,18.325868,-0.982980,0.678026,1
1,-7.997633,1.363918,17.554119,-0.965398,0.670008,1
2,-7.986029,0.841160,18.282822,-0.978051,0.676078,1
3,-7.984589,0.797800,18.423886,-0.984300,0.678080,1
4,-7.984589,1.330413,18.423886,-0.968865,0.671279,1
5,-7.984332,-2.162423,17.725529,-0.999364,0.707508,1
6,-7.981129,0.841160,17.755999,-0.977812,0.676051,1
7,-7.980858,0.802531,18.276464,-0.982467,0.677999,1
8,-7.979904,3.790937,18.258463,-0.998290,0.699712,1
9,-7.978607,-2.306191,18.424568,-0.999467,0.716348,1
10,-7.976534,-2.210155,18.401518,-0.999448,0.709158,1
11,-7.976194,-2.306191,18.424568,-0.999466,0.716300,1
12,-7.976194,-2.161272,18.296654,-0.999359,0.707437,1
13,-7.976071,1.322051,18.423886,-0.967728,0.671168,1
14,-7.975786,1.363918,17.539268,-0.964145,0.669760,1
15,-7.975652,-2.203897,18.323176,-0.999427,0.708297,1
16,-7.975121,3.792797,17.600551,-0.998272,0.695520,1
17,-7.973598,3.688236,17.598079,-0.998521,0.704917,1
18,-7.930983,1.330413,18.423886,-0.966286,0.670892,1
19,-7.927177,1.330413,18.423886,-0.965801,0.670754,1
20,-7.907660,-2.183946,18.290366,-0.999387,0.707963,1
21,-7.900981,0.802278,17.571587,-0.981997,0.677404,1
22,-7.900894,-2.123849,17.539366,-0.999291,0.706671,1
23,-7.900894,-2.123849,17.554183,-0.999291,0.706671,1
24,-7.897161,0.802278,17.571659,-0.981732,0.677377,1
25,-7.842550,3.666339,18.408038,-0.998331,0.702136,1
26,-7.788531,3.908019,17.597054,-0.997197,0.688024,1
27,-7.785246,1.339884,17.599829,-0.962809,0.665186,1
28,-7.785246,1.363918,17.554119,-0.961817,0.664144,1
29,-7.780856,1.924378,18.323306,-0.907092,0.662463,1
30,-7.779913,1.924378,18.323306,-0.905058,0.662435,1
31,-7.769155,1.921413,18.290366,-0.903164,0.662294,1
32,-7.760327,3.910110,17.597054,-0.997115,0.687488,1
33,-7.751942,1.710888,18.401518,-0.931793,0.663866,1
34,-7.721279,1.703599,18.319072,-0.934770,0.664034,1
35,-7.720758,4.165970,18.425761,-0.992018,0.682298,1
36,-7.720276,1.922174,18.406564,-0.901637,0.661871,1
37,-7.700321,4.165970,18.290366,-0.991894,0.681883,1
38,-7.683707,1.933992,18.298024,-0.891398,0.661419,1
39,-7.680939,1.725096,17.797623,-0.930501,0.663305,1
40,-7.677392,3.938900,18.289812,-0.996490,0.687262,1
41,-7.677253,1.725096,17.797623,-0.928421,0.663221,1
42,-7.677253,1.743272,17.792755,-0.928369,0.663081,1
43,-7.668378,1.909833,18.323297,-0.893367,0.661814,1
44,-7.651482,1.907904,18.323297,-0.891943,0.661588,1
45,-7.636974,1.924378,18.323306,-0.890230,0.661024,1
46,-7.632622,1.924378,18.403705,-0.890035,0.660996,1
47,-7.624531,1.924378,18.402273,-0.887628,0.660573,1
48,-7.490081,3.947804,17.598079,-0.995730,0.684356,1
49,-7.472001,4.165970,18.425761,-0.990320,0.678376,1
50,-7.462843,4.165970,18.290366,-0.990182,0.678238,1
51,-7.458754,4.080354,18.290366,-0.992787,0.683585,1
52,-7.457023,1.879801,18.290366,-0.881528,0.659783,1
53,-7.457009,4.165970,18.290366,-0.990099,0.678183,1
54,-7.457008,3.737160,18.290369,-0.997555,0.689389,1
55,-7.453090,1.879801,17.555636,-0.882994,0.659839,1
56,-7.451558,3.737160,18.289812,-0.997551,0.689273,1
57,-4.817450,3.463196,3.473590,-1.000000,0.773159,1
58,-3.253563,4.900475,3.473590,-0.999926,0.768857,1
59,-3.253563,4.959527,3.473590,-0.999921,0.768765,1
60,-3.253563,5.000427,3.473590,-0.999913,0.768513,1
