Index,mut_extent_1,mut_extent_2,vertex_control,Fitness_Confidence_Expected,Fitness_Brightness,Critical
0,-7.987582,3.196930,22.068522,0.999993,0.649067,0
1,-7.524963,5.775069,4.180617,-0.235595,0.777563,0
2,-7.523838,4.474860,4.181185,-0.048532,0.774715,0
3,-7.522856,4.493689,4.180665,-0.048863,0.775202,0
4,-7.520986,5.782277,3.743116,-0.252017,0.777680,0
5,-7.499016,5.782277,3.752570,-0.227629,0.777056,0
6,-7.460391,5.782277,3.742363,-0.207533,0.775924,0
7,-7.439606,5.752632,4.210006,-0.149723,0.775437,0
8,-7.436058,5.736550,4.209314,-0.133317,0.775359,0
9,-7.418586,2.358506,21.751044,0.999985,0.652716,0
10,-7.407398,2.406780,21.751044,0.999984,0.658543,0
11,-7.263831,4.334296,3.741214,0.142728,0.773044,0
12,-7.243002,4.332467,3.979862,0.185051,0.771836,0
13,-7.195964,4.318040,3.831679,0.207166,0.770648,0
14,-7.173376,4.303336,4.175320,0.226649,0.769043,0
15,-7.166580,4.303336,4.175320,0.240482,0.768746,0
16,-7.163924,4.319683,4.166576,0.221321,0.769598,0
17,-7.095730,2.379999,21.917276,0.999988,0.652031,0
18,-7.004290,4.474860,4.613577,-1.000000,0.803193,1
19,-6.496056,4.285032,4.606766,-0.999993,0.793592,1
20,-6.219549,4.341504,4.615538,-0.999913,0.790546,1
21,-5.824193,4.303336,4.175320,0.783420,0.768353,0
22,-5.777861,1.537636,22.405980,0.999998,0.642121,0
23,-5.770235,4.332467,5.465088,-0.994127,0.781699,1
24,-5.759401,4.332467,5.465088,-0.993174,0.780947,1
25,-5.051519,4.315134,4.179971,0.918080,0.764641,0
26,-5.047849,4.314995,4.179113,0.918617,0.764423,0
27,-5.044891,4.483300,4.180665,0.897543,0.766374,0
28,-4.105745,4.498944,3.982141,0.926618,0.762339,0
29,-3.825638,4.303336,4.181430,0.933296,0.761200,0
30,-3.451365,4.298856,4.180665,0.952046,0.759188,0
31,-3.123117,4.317918,4.175817,0.962234,0.756411,0
32,-3.061612,4.317918,4.180002,0.963142,0.754439,0
33,-3.016083,4.298856,4.180665,0.965423,0.752133,0
34,-2.567306,4.345033,4.163710,0.985218,0.745627,0
35,-2.454806,3.207993,3.978821,0.994371,0.733460,0
36,-2.448004,4.209287,4.322630,0.986569,0.744635,0
37,-2.365996,4.310705,3.980252,0.990748,0.737303,0
38,-2.354293,4.303336,4.175320,0.990994,0.736413,0
39,-2.183226,4.303336,4.160824,0.994405,0.730134,0
40,-2.182281,2.942865,3.509757,0.998449,0.728560,0
41,-1.043145,3.361594,4.356764,0.999095,0.723744,0
42,-0.991349,3.297189,4.274078,0.999222,0.719474,0
43,-0.097455,3.237095,3.965469,0.999159,0.723615,0
44,-0.002868,3.297189,4.274078,0.999173,0.722307,0
45,0.127801,3.229726,4.175931,0.999239,0.715402,0
46,0.611237,3.229726,4.171262,0.999291,0.715149,0
47,0.714249,3.262579,3.746580,0.999341,0.708622,0
48,0.859468,3.229726,4.175931,0.999418,0.707712,0
49,0.983290,3.229726,3.978821,0.999522,0.699856,0
50,0.993853,3.229599,3.978821,0.999531,0.699481,0
51,1.666612,3.217974,4.175931,0.999901,0.699130,0
52,1.769391,3.207011,3.506717,0.999916,0.696300,0
53,1.888757,3.246071,4.360212,0.999927,0.695621,0
54,1.909435,3.229726,4.175931,0.999928,0.694648,0
55,4.139763,-5.945510,4.161189,-0.999445,0.785555,1
56,4.139763,-4.905948,4.186016,0.864501,0.768192,0
57,4.143223,-5.930300,4.161406,-0.999317,0.784708,1
58,4.143223,-5.582545,4.161383,-0.975077,0.777891,1
59,4.143223,-4.896388,4.161383,0.881109,0.767507,0
60,4.143313,-6.101781,4.163583,-0.999870,0.786401,1
