Attribute,Value
Number Critical Scenarios,413
Number Critical Scenarios (duplicate free),88
Number All Scenarios,1000
Number All Scenarios (duplicate free),258
Number Best Critical Scenarios,226
Number Best Critical Scenarios (duplicate free),34
Number Best Scenarios,497
Number Best Scenarios (duplicate free),67
Ratio Critical/All scenarios,0.41
Ratio Critical/All scenarios (duplicate free),0.34
Ratio Best Critical/Best Scenarios,0.45
Ratio Best Critical/Best Scenarios (duplicate free),0.51
Iteration first critical found,3
Fitness value of critical (first of population of interest),[-0.775644  0.850681 -1.971661]
Input value of critical (first of population of interest),[ 3.469746 -5.640894 19.757494]
