Index,mut_extent_1,mut_extent_2,vertex_control,Fitness_Confidence_Expected,Fitness_Brightness,Critical
0,6.733690,-7.478930,4.227754,-1.000000,0.811907,1
1,7.622698,6.081902,2.453649,0.999835,0.682888,0
2,5.682448,-6.514016,4.618091,0.502415,0.774389,0
3,5.756257,-7.414600,4.624165,-0.131769,0.774676,0
4,6.782069,-7.044769,5.629539,0.979141,0.736337,0
5,7.640047,5.678129,2.469346,0.999780,0.690500,0
6,0.226444,3.298054,3.771781,0.999286,0.709973,0
7,5.682448,-6.450880,4.618091,0.548878,0.772589,0
8,6.782280,-6.668404,5.629539,0.995147,0.724134,0
9,5.762956,-7.688722,4.615256,-0.375828,0.778684,0
10,5.756257,-7.548998,4.626714,-0.228084,0.778539,0
11,6.680443,-7.044769,5.550979,0.979484,0.734500,0
12,6.231919,-6.537741,5.629539,0.997306,0.719196,0
13,0.104252,3.298054,3.771781,0.999234,0.714092,0
14,6.735684,-6.702552,4.227754,-0.999793,0.804235,1
15,6.782069,-6.892826,5.629539,0.984980,0.733309,0
16,5.420464,-6.271272,3.629427,-0.999071,0.790843,1
17,5.682448,-6.278482,4.216638,-0.998419,0.784576,1
18,5.980001,-5.371537,4.624096,0.823647,0.765811,0
19,6.841984,-6.586026,2.420839,-0.999851,0.810728,1
