Index,mut_extent_1,mut_extent_2,vertex_control,Fitness_Confidence_Expected,Fitness_Brightness,Critical
0,-4.254572,-7.998685,18.004452,-0.999999,0.737326,1
1,-3.322935,-7.951667,18.474966,-0.999998,0.736433,1
2,-3.143635,-7.999897,18.015361,-0.999997,0.733409,1
3,-3.001102,-7.999385,17.746762,-0.999995,0.722428,1
4,-2.966193,-7.997126,17.726526,-0.999994,0.721457,1
5,-2.958738,-7.991176,17.701887,-0.999993,0.721195,1
6,-2.924062,-7.995194,18.051583,-0.999992,0.720149,1
7,-2.873468,-7.999364,17.721249,-0.999990,0.718245,1
8,-2.596648,-7.998315,18.121949,-0.999964,0.714932,1
9,-2.584863,-7.998524,18.121949,-0.999962,0.714291,1
10,-2.483463,-7.998315,18.121949,-0.999949,0.711086,1
11,-2.475715,-7.999998,17.862848,-0.999947,0.710483,1
12,-2.472898,-7.987853,18.106692,-0.999948,0.710784,1
13,-2.461076,-7.999998,17.862848,-0.999946,0.710294,1
14,-1.110408,-7.682057,18.051583,-0.999013,0.707243,1
15,-1.050235,-7.682057,18.483619,-0.999008,0.704962,1
16,-1.004827,-7.676273,18.445065,-0.998999,0.703401,1
17,-0.966862,-7.676560,17.746762,-0.998965,0.701921,1
18,-0.907163,-7.680458,18.004229,-0.998873,0.699240,1
19,-0.875854,-7.682023,18.483619,-0.998802,0.691662,1
20,-0.875854,-7.680639,18.483619,-0.998808,0.691781,1
21,-0.875854,-7.676273,17.713980,-0.998812,0.691899,1
22,-0.789095,-7.658348,17.865863,-0.998633,0.688691,1
23,-0.758620,-7.849377,18.480740,-0.998506,0.685403,1
24,-0.745792,-7.951492,18.436672,-0.998420,0.683660,1
25,-0.737573,-7.950924,18.475905,-0.998410,0.683343,1
26,-0.730030,-7.951046,18.013694,-0.998390,0.682947,1
27,-0.717529,-7.951667,18.224782,-0.998388,0.682432,1
28,-0.695103,-7.992568,18.477009,-0.998350,0.681046,1
29,-0.688543,-7.950924,18.470872,-0.998376,0.681442,1
30,-0.665016,-7.979201,18.471586,-0.998344,0.680214,1
31,-0.661949,-7.996341,17.726526,-0.998288,0.674039,1
32,-0.660667,-7.983933,18.477382,-0.998315,0.674157,1
33,-0.659352,-7.979129,18.472204,-0.998311,0.674118,1
34,-0.659352,-7.978664,18.030963,-0.998327,0.674235,1
35,-0.651622,-7.984044,18.477382,-0.998284,0.673882,1
36,-0.649118,-7.986327,18.477340,-0.998257,0.673725,1
37,-0.641913,-7.997126,17.726526,-0.998250,0.673373,1
38,-0.638914,-7.994621,18.273634,-0.998235,0.673137,1
39,-0.638914,-7.993969,18.476921,-0.998238,0.673216,1
40,-0.637541,-7.998440,17.719791,-0.998223,0.673059,1
41,3.022512,-7.060372,18.484936,-0.500688,0.657614,0
42,3.023269,-7.060372,18.483619,-0.494729,0.657405,0
43,3.023802,-7.062772,18.487337,-0.504377,0.657655,0
44,3.023802,-7.060372,18.483619,-0.496667,0.657530,0
45,3.053850,-7.076727,18.482262,-0.514181,0.658365,0
46,3.083081,-7.125886,18.030963,-0.550124,0.658532,0
47,3.086859,-7.125886,18.030963,-0.556772,0.658740,0
48,3.114556,-7.125886,18.033702,-0.572799,0.659992,0
49,4.003985,-7.925172,18.446746,-0.978848,0.660643,1
50,4.016427,-7.937645,18.009589,-0.979706,0.661047,1
51,4.027975,-7.937095,18.475905,-0.980768,0.661492,1
52,4.075535,-7.992652,18.009589,-0.983737,0.662098,1
53,4.087037,-7.998837,17.730815,-0.984562,0.662786,1
54,4.109289,-7.998526,17.722452,-0.984698,0.663554,1
55,4.136125,-7.979920,18.447731,-0.985530,0.665535,1
56,4.148244,-7.998440,17.719791,-0.986081,0.665575,1
57,4.287461,-7.983388,18.477130,-0.991003,0.666347,1
58,4.309762,-7.999986,18.484167,-0.992148,0.667147,1
59,4.321098,-7.994102,17.722452,-0.992438,0.667787,1
60,4.359594,-7.995106,18.484167,-0.993298,0.669508,1
61,4.675775,-7.998550,17.722502,-0.996204,0.671176,1
