Index,X_0,X_1,X_2,Fitness_Fitness_0,Fitness_Fitness_1,Fitness_Fitness_2,Critical
0,-8.000000,-8.000000,2.111111,-1.000000,0.845427,0.000000,1
1,-8.000000,-8.000000,8.444444,-0.995585,0.733741,0.000000,1
2,-8.000000,-8.000000,10.555556,-0.946368,0.719088,0.000000,1
3,-8.000000,-8.000000,12.666667,-0.941758,0.743455,0.000000,1
4,-8.000000,-8.000000,16.888889,-0.933003,0.749268,0.000000,1
5,-8.000000,-8.000000,19.000000,-0.982630,0.673128,0.000000,1
6,-6.222222,-8.000000,0.000000,-0.998205,0.772062,0.000000,1
7,-6.222222,-8.000000,2.111111,-1.000000,0.842279,0.000000,1
8,-6.222222,-8.000000,8.444444,-0.972955,0.714964,0.000000,1
9,-6.222222,-8.000000,10.555556,-0.974301,0.738454,0.000000,1
10,-6.222222,-8.000000,12.666667,-0.952682,0.729137,0.000000,1
11,-6.222222,-8.000000,16.888889,-0.914116,0.739405,0.000000,1
12,-6.222222,-8.000000,19.000000,-0.988694,0.667952,0.000000,1
13,-4.444444,-8.000000,0.000000,-0.999980,0.784592,0.000000,1
14,-4.444444,-8.000000,2.111111,-0.999775,0.848478,0.000000,1
15,-4.444444,-8.000000,10.555556,-0.959684,0.770354,0.000000,1
16,-4.444444,-8.000000,12.666667,-0.961666,0.711692,0.000000,1
17,-4.444444,-8.000000,14.777778,-0.709572,0.728301,0.000000,1
18,-4.444444,-8.000000,16.888889,-0.988128,0.720151,0.000000,1
19,-4.444444,-8.000000,19.000000,-0.993590,0.680205,0.000000,1
20,-2.666667,-8.000000,0.000000,-1.000000,0.793815,0.000000,1
21,-2.666667,-8.000000,2.111111,-1.000000,0.854240,0.000000,1
22,-2.666667,-8.000000,10.555556,-0.902974,0.753055,0.000000,1
23,-2.666667,-8.000000,12.666667,-0.837171,0.708112,0.000000,1
24,-2.666667,-8.000000,16.888889,-0.996902,0.709772,0.000000,1
25,-2.666667,-8.000000,19.000000,-0.993797,0.696285,0.000000,1
26,-0.888889,-8.000000,0.000000,-1.000000,0.791237,0.000000,1
27,-0.888889,-8.000000,2.111111,-1.000000,0.853206,0.000000,1
28,-0.888889,-8.000000,10.555556,-0.918536,0.752753,0.000000,1
29,-0.888889,-8.000000,14.777778,-0.929810,0.708156,0.000000,1
30,-0.888889,-8.000000,16.888889,-0.999447,0.710920,0.000000,1
31,-0.888889,-8.000000,19.000000,-0.938898,0.680791,0.000000,1
32,0.888889,-8.000000,0.000000,-1.000000,0.783154,0.000000,1
33,0.888889,-8.000000,2.111111,-1.000000,0.835751,0.000000,1
34,0.888889,-8.000000,6.333333,-0.965382,0.717263,0.000000,1
35,0.888889,-8.000000,10.555556,-0.723900,0.757003,0.000000,1
36,0.888889,-8.000000,12.666667,-0.940678,0.741214,0.000000,1
37,0.888889,-8.000000,14.777778,-0.963977,0.734037,0.000000,1
38,0.888889,-8.000000,16.888889,-0.998985,0.723893,0.000000,1
39,0.888889,-8.000000,19.000000,-0.850704,0.709741,0.000000,1
40,2.666667,-8.000000,0.000000,-1.000000,0.790081,0.000000,1
41,2.666667,-8.000000,2.111111,-0.999988,0.824462,0.000000,1
42,2.666667,-8.000000,6.333333,-0.971160,0.727253,0.000000,1
43,2.666667,-8.000000,10.555556,-0.875813,0.745098,0.000000,1
44,2.666667,-8.000000,12.666667,-0.966614,0.752905,0.000000,1
45,2.666667,-8.000000,14.777778,-0.972958,0.743399,0.000000,1
46,2.666667,-8.000000,16.888889,-0.947642,0.701924,0.000000,1
47,4.444444,-8.000000,0.000000,-0.999664,0.772313,0.000000,1
48,4.444444,-8.000000,2.111111,-0.998185,0.808905,0.000000,1
49,4.444444,-8.000000,4.222222,-0.884756,0.737589,0.000000,1
50,4.444444,-8.000000,6.333333,-0.988300,0.740774,0.000000,1
51,4.444444,-8.000000,8.444444,-0.919488,0.711391,0.000000,1
52,4.444444,-8.000000,10.555556,-0.985203,0.717847,0.000000,1
53,6.222222,-8.000000,0.000000,-0.973534,0.768597,0.000000,1
54,6.222222,-8.000000,2.111111,-0.990684,0.811874,0.000000,1
55,6.222222,-8.000000,4.222222,-0.959029,0.752234,0.000000,1
56,6.222222,-8.000000,6.333333,-0.998165,0.770209,0.000000,1
57,6.222222,-8.000000,10.555556,-0.968628,0.717008,0.000000,1
58,6.222222,-8.000000,12.666667,-0.902074,0.772846,0.000000,1
59,6.222222,-8.000000,16.888889,-0.898909,0.692224,0.000000,1
60,8.000000,-8.000000,0.000000,-0.972764,0.771337,0.000000,1
61,8.000000,-8.000000,2.111111,-0.996682,0.787564,0.000000,1
62,8.000000,-8.000000,4.222222,-0.995361,0.742502,0.000000,1
63,8.000000,-8.000000,6.333333,-0.996354,0.760325,0.000000,1
64,8.000000,-8.000000,10.555556,-0.761968,0.723570,0.000000,1
65,8.000000,-8.000000,12.666667,-0.999451,0.768153,0.000000,1
66,8.000000,-8.000000,16.888889,-0.941284,0.693954,0.000000,1
67,-8.000000,-6.222222,2.111111,-0.999954,0.829762,0.000000,1
68,-8.000000,-6.222222,6.333333,-0.904786,0.731880,0.000000,1
69,-8.000000,-6.222222,8.444444,-0.999110,0.785484,0.000000,1
70,-8.000000,-6.222222,10.555556,-0.961838,0.727141,0.000000,1
71,-8.000000,-6.222222,12.666667,-0.948290,0.744916,0.000000,1
72,-8.000000,-6.222222,16.888889,-0.947988,0.750420,0.000000,1
73,-8.000000,-6.222222,19.000000,-0.974511,0.671601,0.000000,1
74,-6.222222,-6.222222,2.111111,-0.999996,0.836415,0.000000,1
75,-6.222222,-6.222222,8.444444,-0.995466,0.777261,0.000000,1
76,-6.222222,-6.222222,10.555556,-0.913932,0.743712,0.000000,1
77,-6.222222,-6.222222,12.666667,-0.938022,0.726184,0.000000,1
78,-6.222222,-6.222222,16.888889,-0.897265,0.745276,0.000000,1
79,-6.222222,-6.222222,19.000000,-0.983361,0.693102,0.000000,1
80,-4.444444,-6.222222,0.000000,-0.998502,0.773260,0.000000,1
81,-4.444444,-6.222222,2.111111,-1.000000,0.826309,0.000000,1
82,-4.444444,-6.222222,8.444444,-0.928159,0.754636,0.000000,1
83,-4.444444,-6.222222,10.555556,-0.872557,0.786037,0.000000,1
84,-4.444444,-6.222222,12.666667,-0.959506,0.722241,0.000000,1
85,-4.444444,-6.222222,16.888889,-0.958670,0.735310,0.000000,1
86,-4.444444,-6.222222,19.000000,-0.977937,0.695187,0.000000,1
87,-2.666667,-6.222222,0.000000,-0.999999,0.785575,0.000000,1
88,-2.666667,-6.222222,2.111111,-1.000000,0.832740,0.000000,1
89,-2.666667,-6.222222,12.666667,-0.907826,0.718784,0.000000,1
