Index,mut_extent_1,mut_extent_2,vertex_control,Fitness_Confidence_Expected,Fitness_Brightness,Critical
0,2.121449,4.070576,21.697490,0.999999,0.737837,0
1,-2.830374,-0.473332,21.917890,1.000000,0.713152,0
2,-7.915683,-1.000614,0.562180,1.000000,0.738663,0
3,1.746775,-0.436393,2.861015,1.000000,0.735408,0
4,1.848550,-5.710174,15.558016,1.000000,0.721299,0
5,6.060055,3.122952,15.043052,1.000000,0.725206,0
6,-7.907235,5.145665,13.452819,1.000000,0.731839,0
7,-6.858137,-6.280751,1.393903,1.000000,0.733620,0
8,-7.509464,4.725226,11.147024,1.000000,0.742511,0
9,-0.966764,0.959491,1.398009,1.000000,0.743030,0
10,2.127419,6.490698,3.260052,1.000000,0.743409,0
11,2.225579,-7.460673,19.075173,1.000000,0.750623,0
12,-0.080960,-1.262437,7.914754,1.000000,0.752726,0
13,-3.392316,0.322419,14.073200,1.000000,0.755943,0
14,-2.560580,-7.561748,1.171286,1.000000,0.757756,0
15,1.749503,0.010075,14.289607,1.000000,0.758510,0
16,2.693389,0.249972,9.152332,1.000000,0.761265,0
17,-4.502480,-0.149794,12.407291,1.000000,0.767409,0
18,0.287995,1.075380,18.676455,1.000000,0.772315,0
19,-4.975263,-0.692344,12.514102,1.000000,0.791591,0
20,-0.792390,-7.687721,1.726376,0.997922,0.797951,0
21,-7.509464,4.725226,22.310108,0.999992,0.705643,0
22,2.181163,-2.102953,13.177429,0.999999,0.705493,0
23,-4.458063,-7.460673,19.075173,0.999994,0.708246,0
24,-0.093459,4.070576,21.697490,1.000000,0.708966,0
25,2.127419,5.767068,5.966734,0.999995,0.800134,0
26,1.672652,4.474540,21.621354,0.999999,0.730176,0
27,-2.830374,-0.452748,21.917890,1.000000,0.712428,0
28,2.121449,4.070576,21.697490,0.999999,0.737837,0
29,-2.830374,-0.473332,21.917890,1.000000,0.713152,0
30,-2.830374,-0.473332,21.511559,1.000000,0.713152,0
31,2.121449,4.066755,21.697490,0.999999,0.737913,0
32,1.848550,-5.710174,15.558016,1.000000,0.721299,0
33,1.746775,-0.902035,2.861015,1.000000,0.734015,0
34,1.848550,-5.681794,11.076813,1.000000,0.760877,0
35,-7.915683,-1.023414,0.567120,1.000000,0.738462,0
36,6.391347,3.122952,15.043052,1.000000,0.721825,0
37,1.746775,-0.436393,2.861015,1.000000,0.735408,0
38,-7.915683,-1.000614,0.562180,1.000000,0.738663,0
39,-7.937157,-1.018350,0.934980,1.000000,0.738738,0
40,-0.792390,-7.687721,1.726376,0.997922,0.797951,0
41,-3.265099,3.122952,21.916807,1.000000,0.685098,0
42,2.121449,-7.665444,1.567553,0.180554,0.808592,0
43,-7.937157,4.699496,0.934980,0.998108,0.760228,0
44,-4.458063,-6.976653,18.577183,0.999991,0.702378,0
45,-4.587066,3.731127,21.697490,0.999999,0.686993,0
46,-1.014169,-7.814077,1.529057,0.998495,0.802400,0
47,-7.509464,4.725226,22.310108,0.999992,0.705643,0
48,2.740032,5.863307,22.114929,0.999991,0.749632,0
49,-3.938128,-7.077282,18.663164,0.999998,0.704537,0
50,-4.458063,-7.545458,18.983628,0.999995,0.705109,0
51,-1.774369,4.103502,22.240965,1.000000,0.696007,0
52,-4.358102,-7.098370,19.086141,0.999994,0.709522,0
