Index,mut_extent_1,mut_extent_2,vertex_control,Fitness_Confidence_Expected,Fitness_Brightness,Critical
0,-0.736525,-7.292437,2.176578,-1.000000,0.822214,1
1,1.600594,3.406624,7.865037,0.729262,0.649438,0
2,5.792933,1.619639,7.609789,0.179668,0.660446,0
3,7.386565,1.721068,7.704632,-0.239810,0.670806,0
4,6.051053,2.281801,1.776665,-0.890061,0.671385,0
5,7.536739,2.988847,6.528031,-0.998779,0.756592,1
6,1.410880,3.257630,1.947310,-0.997857,0.706295,1
7,1.492954,3.326713,7.651152,0.624363,0.659132,0
8,0.439595,-7.472944,1.793121,-1.000000,0.816331,1
9,0.417642,-7.592807,0.169255,-1.000000,0.783083,1
10,7.179442,1.691369,7.610818,-0.100817,0.664532,0
11,4.712821,2.991502,1.861055,-0.979440,0.685835,1
12,1.600391,3.317140,1.947310,-0.997423,0.702821,1
13,7.500793,2.734860,6.528031,-0.999295,0.765075,1
14,7.381464,1.704955,7.704632,-0.205957,0.670153,0
15,7.179442,1.693012,7.651741,-0.102633,0.664575,0
16,1.597420,3.326713,7.651152,0.659569,0.654329,0
17,6.051053,2.299203,1.776665,-0.891689,0.676117,0
18,6.478987,2.594966,1.718126,-0.913885,0.685085,0
19,7.386539,2.368794,1.806259,-0.900925,0.682415,0
