Attribute,Value
Number Critical Scenarios,202
Number Critical Scenarios (duplicate free),60
Number All Scenarios,1000
Number All Scenarios (duplicate free),268
Number Best Critical Scenarios,93
Number Best Critical Scenarios (duplicate free),10
Number Best Scenarios,522
Number Best Scenarios (duplicate free),66
Ratio Critical/All scenarios,0.20
Ratio Critical/All scenarios (duplicate free),0.22
Ratio Best Critical/Best Scenarios,0.18
Ratio Best Critical/Best Scenarios (duplicate free),0.15
Iteration first critical found,2
Fitness value of critical (first of population of interest),[-0.999327  0.826934 -1.902885]
Input value of critical (first of population of interest),[-0.337472  7.090158  3.598002]
