Index,mut_extent_1,mut_extent_2,vertex_control,Fitness_Confidence_Expected,Fitness_Brightness,Critical
0,4.535863,2.202082,10.699971,-0.094130,0.541553,0
1,4.535863,2.202082,10.699972,-0.094130,0.541553,0
2,4.541931,2.202082,10.704229,-0.110103,0.541606,0
3,4.894222,1.941847,11.124498,0.304519,0.540064,0
4,4.894222,1.947177,11.124498,0.273645,0.540117,0
5,4.894222,1.972418,11.124498,0.208635,0.540329,0
6,4.905931,1.993098,11.255138,0.127484,0.540700,0
7,4.906326,2.036412,11.184310,-0.051967,0.540965,0
8,4.908455,2.012788,11.172857,0.045197,0.540859,0
9,4.911492,2.039039,11.207478,-0.075392,0.541176,0
10,4.919545,2.080514,11.153061,-0.225806,0.541759,0
11,4.922050,2.082406,11.153061,-0.229870,0.541812,0
12,4.922126,2.039170,10.716812,-0.088843,0.541494,0
13,4.922126,2.080514,11.152319,-0.229870,0.541812,0
14,4.937815,2.077238,11.172847,-0.239514,0.542395,0
15,4.968668,2.097742,11.176764,-0.313287,0.543508,0
16,4.969280,2.099631,11.176764,-0.330808,0.543773,0
17,4.976318,2.348983,11.177578,-0.847218,0.546052,0
18,4.983174,2.354285,11.177063,-0.853310,0.546158,0
19,5.032084,2.354285,11.195409,-0.863199,0.547165,0
20,5.032084,2.419913,11.209621,-0.910209,0.548490,0
21,5.032084,2.423744,11.209621,-0.913644,0.548543,0
22,5.032084,4.010454,11.312493,-0.999528,0.574149,1
23,5.036075,2.539069,10.636758,-0.961486,0.550927,1
24,5.037365,2.360186,10.699992,-0.869546,0.547642,0
25,5.038604,2.539901,10.699992,-0.961590,0.551033,1
26,5.070726,3.914857,11.177046,-0.999399,0.558371,1
27,5.071208,3.920580,11.116789,-0.999414,0.564655,1
28,5.071208,4.050308,11.209621,-0.999589,0.584732,1
29,5.071208,4.052533,11.176438,-0.999592,0.585046,1
30,5.072120,3.914857,11.177046,-0.999409,0.558673,1
31,5.072120,3.938356,11.115476,-0.999436,0.565775,1
32,5.072215,-1.462964,11.176764,-0.999990,0.617647,1
33,5.072215,-1.386928,11.176764,-0.999988,0.612745,1
34,5.072215,-1.384900,11.176764,-0.999987,0.612489,1
35,5.072215,7.099427,11.181649,0.378988,0.535966,0
36,5.075732,4.031559,11.177046,-0.999563,0.577503,1
37,5.085536,-0.970532,11.208732,-0.999954,0.609447,1
38,5.085536,-0.855423,11.208732,-0.999921,0.601203,1
39,5.093214,-0.855423,10.725930,-0.999919,0.601114,1
40,5.093482,3.957778,11.172470,-0.999467,0.567813,1
41,5.094550,3.809122,10.699992,-0.999363,0.555706,1
42,5.094550,3.809122,11.223381,-0.999363,0.555706,1
43,5.094551,3.812787,10.675682,-0.999368,0.555857,1
44,5.094551,3.812787,11.122851,-0.999368,0.555857,1
45,5.094551,3.866360,10.715573,-0.999387,0.557667,1
46,5.171979,4.052533,11.176438,-0.999601,0.595019,1
47,5.468097,6.737615,11.176201,0.344442,0.538544,0
48,5.486758,-1.827158,11.176727,-0.999997,0.625782,1
49,5.486758,6.739370,11.181612,0.354947,0.538168,0
50,5.490497,6.723044,11.182144,0.323124,0.539350,0
51,5.490497,6.804440,11.182144,0.501820,0.534193,0
52,5.490497,6.819078,11.182144,0.534617,0.533548,0
53,5.518318,6.819078,11.182133,0.555316,0.528193,0
54,5.808542,-2.159943,11.167482,-0.999998,0.638803,1
55,5.812097,-2.201954,10.876587,-0.999999,0.641238,1
56,5.866541,6.952107,11.184090,0.874780,0.526222,0
57,5.890038,6.737615,11.176201,0.679546,0.526832,0
58,5.890038,6.742053,11.184150,0.690668,0.526780,0
59,6.269578,-2.992001,11.164563,-1.000000,0.661059,1
