Index,mut_extent_1,mut_extent_2,vertex_control,Fitness_Confidence_Expected,Fitness_Brightness,Critical
0,-7.999475,-1.022593,20.606382,-0.999683,0.669236,1
1,-7.999470,7.022624,20.526199,-0.995389,0.630995,1
2,-7.998562,6.983857,20.522469,-0.995396,0.635789,1
3,-7.997326,6.699262,20.507182,-0.995271,0.624799,1
4,-7.949474,6.699262,20.507182,-0.995052,0.624052,1
5,-7.863460,-1.504371,20.526199,-0.999924,0.679794,1
6,-7.836658,-2.086350,20.533648,-0.999979,0.686146,1
7,-7.832220,-2.086350,20.533726,-0.999980,0.686275,1
8,-7.828453,-2.049932,20.533648,-0.999977,0.684507,1
9,-7.828453,-2.049932,20.975044,-0.999977,0.684507,1
10,-7.828453,-1.982533,20.533648,-0.999972,0.681581,1
11,-7.828453,-1.982533,20.547786,-0.999972,0.681581,1
12,-7.828453,-1.459254,20.533648,-0.999919,0.673389,1
13,-7.542108,-1.022593,20.533648,-0.999606,0.667739,1
14,-7.505735,7.934865,20.668355,-0.977679,0.623173,1
15,-7.500976,-2.826803,20.720685,-1.000000,0.702334,1
16,-7.484275,-2.097603,20.674127,-0.999993,0.688942,1
17,-7.474332,7.921317,20.669558,-0.977066,0.619043,1
18,-7.455488,-1.249465,20.735648,-0.999820,0.673014,1
19,-7.455246,-1.437754,20.735648,-0.999925,0.681456,1
20,-7.427730,-2.088686,20.720685,-0.999994,0.689071,1
21,-6.672874,0.324948,17.579050,-0.142582,0.618351,0
22,-6.668094,0.261578,17.578621,-0.118938,0.602598,0
23,-6.660867,0.261578,17.578621,-0.111677,0.602206,0
24,-6.660796,0.332504,17.579050,-0.141342,0.617798,0
25,-6.660706,0.259856,17.579050,-0.111677,0.602206,0
26,-6.660704,0.261578,17.579050,-0.111677,0.602206,0
27,-6.660704,0.324948,17.579050,-0.138165,0.617597,0
28,-6.660276,0.330098,17.579050,-0.139733,0.617647,0
29,-6.660276,0.332504,17.579050,-0.139733,0.617647,0
30,-6.660276,0.332504,17.603185,-0.139733,0.617647,0
31,-6.655707,0.324948,17.579050,-0.135141,0.617245,0
32,-6.595554,0.263237,17.579050,-0.102101,0.599167,0
33,-6.592491,0.261584,17.579050,-0.100567,0.598725,0
34,-6.592491,0.261584,17.593677,-0.100567,0.598725,0
35,-6.589118,0.266150,17.599099,-0.097726,0.598480,0
36,-6.573739,0.237084,17.914824,-0.078306,0.596765,0
37,-6.486912,0.194827,17.599374,-0.042312,0.590637,0
38,-6.478890,0.192850,17.590425,-0.033471,0.590147,0
