Index,mut_extent_1,mut_extent_2,vertex_control,Fitness_Confidence_Expected,Fitness_Brightness,Critical
0,-0.933528,1.211857,15.310017,0.731403,0.705839,0
1,6.117161,0.017224,12.539275,0.965558,0.689434,0
2,-0.706576,3.127870,2.999647,0.995474,0.664938,0
3,3.852763,-0.192393,6.620575,-0.957909,0.729374,1
4,6.126683,-0.652075,4.425907,0.977931,0.669994,0
5,-0.754564,3.764991,13.874473,0.973020,0.768469,0
6,1.168473,1.095167,1.805861,0.998986,0.676078,0
7,1.532097,7.742118,13.489293,0.983622,0.700668,0
8,4.173260,0.964487,12.198343,0.999388,0.698196,0
9,-0.830026,-0.149991,18.655836,0.993501,0.708899,0
10,2.448118,3.243242,13.365448,0.996805,0.703537,0
11,2.772113,0.486744,13.500126,0.995364,0.735631,0
12,0.978964,1.490929,6.597036,0.998782,0.706731,0
13,-2.677995,-6.220156,13.794874,0.998510,0.720396,0
14,3.781020,1.774704,14.604313,0.996069,0.770094,0
15,-2.110940,-0.248225,1.002485,0.999941,0.729518,0
16,0.060914,-1.057395,9.816069,0.999982,0.725310,0
17,-1.031721,-1.270007,0.251164,0.999980,0.730559,0
18,-1.317026,-0.172189,11.230103,0.999993,0.740178,0
19,2.149657,-5.463838,9.519975,0.999998,0.788983,0
20,3.660027,-0.194333,6.677635,-0.975221,0.726947,1
21,-0.933239,-1.856712,13.796572,0.022805,0.684649,0
22,3.781020,1.774704,11.018545,0.862481,0.631598,0
23,3.839128,0.964487,6.546452,-0.955816,0.724348,1
24,3.852763,-0.192393,6.620575,-0.957909,0.729374,1
25,-0.933528,1.211857,15.310017,0.731403,0.705839,0
26,-0.933528,1.240976,15.005580,0.718959,0.706362,0
27,-0.706576,3.127870,2.999647,0.995474,0.664938,0
28,6.126683,-0.652075,4.425907,0.977931,0.669994,0
29,6.117161,0.017224,2.303033,0.998519,0.655645,0
30,3.758670,-1.015310,4.425907,0.998242,0.657071,0
31,5.955613,-6.309060,11.597696,0.913238,0.679620,0
32,3.866574,-0.198469,6.620575,-0.956091,0.729636,1
33,-0.933528,3.531868,14.809908,0.759746,0.709724,0
34,1.168473,1.095167,1.805861,0.998986,0.676078,0
35,1.175110,1.095167,1.805861,0.998988,0.675817,0
36,1.531703,1.069031,2.015900,0.999079,0.672263,0
37,2.301675,4.147517,2.999647,0.998740,0.688152,0
38,6.103350,0.023299,12.539275,0.964686,0.689325,0
39,1.532097,7.742118,6.381517,-0.909782,0.732915,0
40,3.781020,1.774704,11.018545,0.862481,0.631598,0
41,-0.933239,-1.864561,13.796572,0.003125,0.684601,0
42,5.993799,-6.991509,12.425473,0.551714,0.679937,0
43,6.103233,-6.309060,6.720987,-0.991094,0.700948,1
44,3.820871,1.774704,11.018545,0.874125,0.632680,0
45,-0.933239,-1.856712,13.796572,0.022805,0.684649,0
46,3.660027,-0.194333,6.677635,-0.975221,0.726947,1
47,3.661477,-0.194333,6.620828,-0.975043,0.726835,1
48,3.839128,0.962250,6.548653,-0.955972,0.724272,1
49,3.853226,1.774704,10.975106,0.880009,0.633807,0
50,-0.933528,1.211857,15.310017,0.731403,0.705839,0
51,-0.933528,1.240976,15.005580,0.718959,0.706362,0
52,3.658937,-0.198469,6.620635,-0.975031,0.726872,1
53,3.839128,0.964487,6.546452,-0.955816,0.724348,1
54,3.781020,1.774704,10.280395,0.884658,0.669552,0
55,3.865657,-0.192393,11.187177,0.968260,0.648336,0
56,-0.933528,3.531868,14.809908,0.759746,0.709724,0
57,3.780557,-0.192393,6.664013,-0.966595,0.728553,1
58,6.150700,-0.652075,6.571320,-0.694689,0.724684,0
59,1.532097,7.703008,6.381174,-0.901682,0.726282,0
60,6.103233,-6.309060,6.720987,-0.991094,0.700948,1
61,3.533850,-7.116281,5.600927,-0.014777,0.648901,0
