Index,mut_extent_1,mut_extent_2,vertex_control,Fitness_Confidence_Expected,Fitness_Brightness,Critical
0,-2.308457,-7.998083,18.975468,-0.999465,0.716564,1
1,-2.158453,-7.998083,18.979428,-0.999354,0.707437,1
2,1.339453,-7.777478,18.958231,-0.962065,0.665104,1
3,1.350881,-7.790072,19.171085,-0.961275,0.664829,1
4,1.707522,-7.801512,18.966652,-0.932584,0.664734,1
5,1.777402,-7.607968,18.962200,-0.921244,0.661569,1
6,1.779786,-7.570967,19.090390,-0.918207,0.660756,1
7,1.816929,-7.522068,18.966854,-0.907167,0.658992,1
8,1.959535,-7.532052,18.957993,-0.867096,0.658259,1
9,1.964278,-7.522068,18.966854,-0.866929,0.658005,1
10,3.640235,-7.369811,19.171085,-0.997475,0.707200,1
11,3.667768,-7.846326,21.862388,-0.989004,0.669423,1
12,3.837767,-7.607968,18.966872,-0.997381,0.695213,1
13,3.906705,-7.728847,18.957943,-0.997016,0.686980,1
14,6.974073,-3.344390,20.845041,-1.000000,0.761989,1
15,7.093752,-3.203098,20.765903,-1.000000,0.763005,1
16,7.308755,-3.308151,19.186274,-0.999980,0.735447,1
17,7.593832,-7.940697,21.804563,-0.993785,0.674537,1
18,7.748836,-2.940551,19.156633,-0.999986,0.743539,1
19,7.754522,-3.284383,19.009596,-0.999992,0.751133,1
